last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
Woodford, Jake,663765,22.2,36.8,,3.9,6.0,12.5,,,18.6,
Whitlock, Garrett,676477,9.5,53.4,,16.5,20.6,,,,,
Houck, Tanner,656557,38.6,17.0,,37.1,,,7.4,,,
Ottavino, Adam,493603,20.7,27.5,1.7,,1.7,0.7,,,47.8,
Kinley, Tyler,641755,43.1,0.3,,52.2,4.0,0.4,,,,
Wilson, Bryse,669060,44.5,19.2,,5.0,19.8,11.5,,,,
Soto, Gregory,642397,7.3,55.1,,37.6,,,,,,
Rogers, Tyler,643511,53.1,4.2,,42.8,,,,,,
Kopech, Michael,656629,64.4,,,29.6,2.6,3.5,,,,
Holmes, Clay,605280,0.1,58.9,,27.7,,13.3,,,,
Peterson, David,656849,29.9,28.7,,24.4,16.3,0.6,,,,
Diekman, Jake,518617,57.2,9.7,,,0.7,,,,32.4,
May, Trevor,543507,60.3,,,24.5,15.2,,,,,
Weaver, Luke,596133,61.9,0.1,6.1,,30.0,1.9,,,,
Thielbar, Caleb,573204,49.0,,,,0.3,16.3,,,34.4,
Brentz, Jake,641394,58.6,0.9,,27.9,12.7,,,,,
Zimmermann, Bruce,669145,42.2,,,18.7,25.8,13.3,,,,
Hendriks, Liam,521230,68.9,,,21.3,0.1,9.7,,,,
Sewald, Paul,623149,58.3,,,,0.1,,,,41.6,
Colomé, Alex,517008,29.5,,70.5,,,,,,,
Pagán, Emilio,641941,61.2,,37.7,,0.8,,0.3,,,
Staumont, Josh,622251,44.1,21.3,,,,34.7,,,,
Treinen, Blake,595014,7.5,27.4,30.0,35.1,0.1,,,,,
Hembree, Heath,592390,52.3,,,47.2,,0.5,,,,
Guerra, Deolis,500610,37.6,7.9,,14.2,30.9,9.4,,,,
Oviedo, Johan,670912,53.7,,,23.7,10.8,11.9,,,,
Loáisiga, Jonathan,642528,3.9,54.9,,2.4,18.4,20.4,,,,
Petit, Yusmeiro,433589,45.4,,23.3,,17.7,13.6,,,,
Smith, Will,519293,47.3,,,41.1,,11.6,,,,
Sborz, Josh,622250,54.5,,,29.4,,16.1,,,,
Hand, Brad,543272,40.2,17.2,,42.6,,,,,,
Floro, Dylan,571670,30.7,32.2,,13.1,24.1,,,,,
Canning, Griffin,656288,40.6,,,27.0,21.3,11.2,,,,
Boxberger, Brad,502202,56.0,,,23.8,20.2,,,,,
Jansen, Kenley,445276,,26.6,58.0,15.4,,,,,,
Chacín, Jhoulys,468504,9.5,32.1,,19.7,3.5,35.2,,,,
Sulser, Cole,642121,51.1,,,13.5,33.2,2.2,,,,
Smith, Riley,642092,0.5,57.3,10.0,4.5,17.0,10.7,,,,
Cisnero, José,542585,40.8,25.2,,28.0,6.0,,,,,
Matzek, Tyler,554431,70.7,,,26.8,,2.5,,,,
Shoemaker, Matt,533167,24.4,16.5,,24.5,,1.2,33.3,,,
Santana, Ervin,429722,45.1,,,51.6,3.3,,,,,
Iglesias, Raisel,628452,34.9,9.6,,30.8,24.6,,,,,
Richards, Trevor,670950,56.8,,,,29.6,13.6,,,,
Jackson, Luke,592426,35.6,,,51.7,,12.7,,,,
Melancon, Mark,453343,2.8,,62.7,,,34.5,,,,
Alvarado, José,621237,3.2,77.2,16.3,,,3.3,,,,
Johnson, Pierce,572955,32.5,,,,,67.5,,,,
Romo, Sergio,489265,2.0,31.4,,55.7,10.9,,,,,
Tate, Dillon,622253,1.1,59.5,22.8,0.8,15.8,,,,,
Clase, Emmanuel,661403,0.9,,69.4,29.8,,,,,,
Ruiz, José,614179,59.5,,,1.2,3.7,35.7,,,,
Scott, Tanner,656945,45.4,3.0,,51.6,,,,,,
Heuer, Codi,676051,56.6,,,22.8,20.6,,,,,
Romano, Jordan,605447,62.3,1.0,,36.8,,,,,,
Cimber, Adam,643256,32.3,35.6,,32.1,,,,,,
Voth, Austin,608723,59.5,,13.6,,,26.6,0.3,,,
Wittgren, Nick,621295,56.0,0.6,9.7,10.6,23.1,,,,,
Familia, Jeurys,544727,14.4,59.1,,23.5,,,3.0,,,
Plutko, Adam,592644,49.9,,32.9,10.2,,7.0,,,,
King, Michael,650633,8.8,53.0,15.2,,12.5,0.3,,,10.2,
Duffy, Danny,518633,42.8,12.8,,18.2,15.4,10.8,,,,
Duffey, Tyler,608648,46.5,4.4,,,,49.1,,,,
Steckenrider, Drew,608716,65.9,,,,15.9,18.3,,,,
Estévez, Carlos,608032,65.8,,,14.9,19.3,,,,,
Karinchak, James,675916,68.1,,,,,31.9,,,,
Chapman, Aroldis,547973,56.6,5.7,,26.7,,,11.1,,,
García, Jarlín,606424,50.0,,,25.4,24.6,,,,,
Díaz, Edwin,621242,61.6,0.6,,37.8,,,,,,
Brothers, Rex,571521,65.5,,,34.5,,,,,,
Holland, Greg,518813,40.3,,,48.3,,11.3,,,,
Williams, Devin,642207,34.7,,,1.4,63.8,,,,,
Littell, Zack,641793,57.8,,,37.2,,,5.0,,,
Gonsolin, Tony,664062,43.6,,,25.9,,8.8,21.7,,,
Norris, Daniel,596057,47.5,,,22.7,29.9,,,,,
Kimbrel, Craig,518886,59.3,,,,,40.7,,,,
Kremer, Dean,665152,55.7,,21.0,,7.5,15.8,,,,
